id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
1209,"Associate Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1210,"Associate Director, Risk Analytics",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1211,"Associate Director, Risk Governance",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1212,Senior Country Risk Manager,X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1213,Senior Credit Risk Manager,X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1214,Senior Enterprise Risk Manager,X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1215,"Senior Manager, Business Resilience",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1216,"Senior Manager, Credit Risk",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1217,"Senior Manager, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1218,"Senior Manager, Enterprise Risk Management - APAC",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1219,"Senior Manager, Enterprise Risk Management - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1220,"Senior Manager, Enterprise Risk Management - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1221,"Senior Manager, Enterprise Risk Management - India",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1222,"Senior Manager, Enterprise Risk Management - Japan",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1223,"Senior Manager, Enterprise Risk Management - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1224,"Senior Manager, Enterprise Risk Management - North America",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1225,"Senior Manager, Financial Risk - APAC",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1226,"Senior Manager, Financial Risk - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1227,"Senior Manager, Financial Risk - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1228,"Senior Manager, Financial Risk - India",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1229,"Senior Manager, Financial Risk - Japan",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1230,"Senior Manager, Financial Risk - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1231,"Senior Manager, Financial Risk - North America",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1232,"Senior Manager, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
